OBJECTID,MUSYM,MUKEY,SS_AREA,MUSYM_AREA,SLOPE,musym_1,muname,mukind,mustatus,muacres,mapunitlfw_l,mapunitlfw_r,mapunitlfw_h,mapunitpfa_l,mapunitpfa_r,mapunitpfa_h,farmlndcl,muhelcl,muwathelcl,muwndhelcl,interpfocus,invesintens,iacornsr,nhiforsoigrp,nhspiagr,vtsepticsyscl,mucertstat,lkey,Shape_Length,Shape_Area
211,253B,789785,HHEA,253B_HHEA,B,253B,"Hinckley loamy sand, 3 to 8 percent slopes",Consociation,,5442,,,,,,,Farmland of statewide importance,Potentially highly erodible land,Potentially highly erodible land,,,,,,,,,12303,5091.707222,460895.2179
212,441C,789768,HHEA,441C_HHEA,C,441C,"Gloucester gravelly fine sandy loam, 8 to 15 percent slopes, very stony",Consociation,,557,,,,,,,Farmland of statewide importance,Not highly erodible land,Highly erodible land,,,,,,,,,12303,3974.891204,369926.2204
213,253A,789783,HHEA,253A_HHEA,A,253A,"Hinckley loamy sand, 0 to 3 percent slopes",Consociation,,864,,,,,,,Farmland of statewide importance,Not highly erodible land,Not highly erodible land,,,,,,,,,12303,1017.768124,42703.80383
214,301C,789817,HHEA,301C_HHEA,C,301C,"Montauk fine sandy loam, 8 to 15 percent slopes, very stony",Consociation,,853,,,,,,,Farmland of statewide importance,Not highly erodible land,Highly erodible land,,,,,,,,,12303,1352.719599,64701.97722
215,51A,789909,HHEA,51A_HHEA,A,51A,"Swansea muck, 0 to 1 percent slopes",Consociation,,1764,,,,,,,Farmland of unique importance,Not highly erodible land,Not highly erodible land,,,,,,,,,12303,587.4885675,26457.12961
216,51A,789909,HHEA,51A_HHEA,A,51A,"Swansea muck, 0 to 1 percent slopes",Consociation,,1764,,,,,,,Farmland of unique importance,Not highly erodible land,Not highly erodible land,,,,,,,,,12303,398.768386,11471.02556
217,386C,789746,HHEA,386C_HHEA,C,386C,"Essex gravelly fine sandy loam, 8 to 15 percent slopes, very stony",Consociation,,658,,,,,,,Farmland of statewide importance,Not highly erodible land,Highly erodible land,,,,,,,,,12303,1874.71088,122612.8447
218,52A,789758,HHEA,52A_HHEA,A,52A,"Freetown muck, 0 to 1 percent slopes",Consociation,,3706,,,,,,,Farmland of unique importance,Not highly erodible land,Not highly erodible land,,,,,,,,,12303,886.3062141,33395.22281
219,255B,789923,HHEA,255B_HHEA,B,255B,"Windsor loamy sand, 3 to 8 percent slopes",Consociation,,1170,,,,,,,Farmland of statewide importance,Potentially highly erodible land,Potentially highly erodible land,,,,,,,,,12303,709.3458784,23849.01004
220,421B,789699,HHEA,421B_HHEA,B,421B,"Canton fine sandy loam, 3 to 8 percent slopes, very stony",Consociation,,1154,,,,,,,Farmland of statewide importance,Potentially highly erodible land,Potentially highly erodible land,,,,,,,,,12303,3764.508639,339678.9479
